Titulo,Peso_GB
Metal Gear Solid 3 Snake Eater - Master Collection Version,"10,76"
Metal Slug collection,"0,73"
Metro 2033 Redux,"6,28"
Metro Last Light Redux,"7,63"
Metroid Dread,"4,13"
Metroid Prime 4 Beyond,"29,75"
Minecraft,"1,4"
Minecraft Dungeons,"6,61"
Minecraft Legends,"7,44"
Minecraft Story Mode - The Complete Adventure,"4,33"
Monopoly for Nintendo Switch,"2,26"
Monopoly for Nintendo Switch plus Monopoly Madness,"7,44"
Monster Hunter generations Ultimate,"11,52"
Moonlighter,"0,67"
Mortal Kombat 1,"35,32"
Mortal Kombat 11,"47,6"
MotoGP 18,"5,17"
MotoGP 23,"10,47"
My Friend Pedro Blood Bullets Bananas,"1,83"
Naruto Shippuden Ultimate Ninja Storm Trilogy,"17,63"
NARUTO storm 4,"12,25"
Naruto x Boruto Ultimate Ninja Storm Connections,"12,99"
"NES, SNES - Nintendo Switch Online","1,1"
New Super Mario Bros. U Deluxe,"3,72"
Ni No Kuni Wrath of the White Witch,"5,76"
NieR Automata The End of YoRHa Edition,"10,91"
Ninja Gaiden 3 Razors Edge,"3,83"
Ninja Gaiden Sigma,"3,28"
Ninja Gaiden Sigma 2,"4,02"
Nintendo Switch Sports,"1,48"
Nongunz Doppelganger Edition,"0,18"
Observer,"6,44"
OMORI,"1,94"
ONE PIECE PIRATE WARRIORS 4,"12,49"
Oninaki,"3,23"
Outlast 2,"9,66"
Overcooked All You Can Eat.xci,"25,8"
P1km1n 4,"10,36"
PAC-MAN 99,"0,77"
PAC-MAN Championship Edition 2 PLUS,"2,52"
PAC-MAN Mega Tunnel Battle Chomp Champs,"2,13"
Paper Mario The Origami King,"6,49"
PATAPON 1+2 REPLAY,"1,39"
PAYDAY 2,"9,84"
Peppa Pig World Adventures,"5,75"
Persona 3 Portable,"7,11"
Persona 4 Golden,"9,08"
Persona 5 Royal,"14,88"
Phoenix Wright Ace Attorney Trilogy,"2,23"
Pizza Tower,"1,07"
Plants vs Zombies Battle for Neighborville Complete Edition,"6,41"
Plants vs. Zombies Replanted for Nintendo Switch,"2,95"
Pokemon Brilliant Diamond,"3,74"
Pokemon Espada,"9,53"
Pokemon Legends Arceus,"6,1"
Pokemon Let's Go Pikachu,"4,19"
Pokemon Let’s Go Eevee,"4,19"
Pokemon Mystery Dungeon Rescue Team DX,"2,15"
Pokemon Quest,"0,26"
Pokemon Scarlet,"6,77"
Pokemon Violet,"6,77"
Pokken Tournament DX,"4,03"
Pokémon FireRed and LeafGreen,"0,06"
Poppy Playtime Chapter 1,"2,68"
Poppy Playtime Chapter 3,"2,59"
Princess Peach Showtime!,"4,65"
Rad,"3,89"
Rayman Legends,"2,93"
Red Dead Redemption,"11,29"
Resident Evil,"14,47"
Resident Evil 0,"13,53"
Resident Evil 4,"12,1"
Resident Evil 5,"12,1"
Resident Evil 6,"12,95"
Retro Realms Arcade,"1,17"
Riptide GP Renegad,"0,26"
Rising Hell,"0,12"
Shin Megami Tensei V,"16,42"
SKULLGIRLS 2ND ENCORE,"16,77"
Sniper Elite 3 Ultimate Edition,"6,32"
Sniper Elite 4,"9,04"
Sniper Elite V2 Remastered,"7,17"
Snow Bros. Special,"0,66"
Sonic Frontiers,"15,27"
Sonic Racing CrossWorlds,"10,13"
Sonic Superstars,"7,44"
Sonic x Shadow Generation,"10,25"
SonicMania,"0,18"
South Park Snow Day!,"11,5"
South Park The Stick Of Truth,"5,54"
Splatoon 3,"8,22"
SpongeBob SquarePants Battle for Bikini Bottom,"11,27"
Spyro Reignited Trilogy,"6,65"
Star Wars Episode I Racer,"0,21"
Stardew Valley,"2,04"
Steamworld Heist II,"1,16"
Strange Brigade,"6,43"
Stray,"5,67"
Street Fighter 30th Anniversary Collection,"4,94"
Super bomberman collection,"2,52"
Super Bomberman R World,"2,27"
Super Dragon Ball Heroes World Mission,"7,3"
Super Mario 3D All-Stars,"4,91"
Super Mario 3D World Bowsers Fury,"2,96"
Super Mario Bros. Wonder,"3,51"
Super Mario Galaxy 2,"2,63"
Super Mario Maker 2,"7,29"
Super Mario Odyssey,"5,78"
Super Mario Party,"2,8"
Super Mario Party Jamboree,"5,32"
Super Mario Party Superstars,"3,72"
Super Mario RPG,"6,4"
Super Monkey Ball Banana Rumble,"2,07"
Super Smash Bros Ultimate,"17,25"
Super Smash Bros Ultimate XCI,"17,31"
Taiko no Tatsujin Drum and Fun,"0,8"
Teenage Mutant Ninja Turtles Mutants Unleashed,"2,97"
Terraria,"0,56"
Tetris 99,"1,86"
TEVI,"1,58"
The Binding of Isaac,"0,75"
THE HOUSE OF THE DEAD 2 Remake,"3,51"
The Legend of Zelda Breath of the Wild,"15,71"
The Legend of Zelda Echoes of Wisdom,"5,58"
The Legend of Zelda Links Awakening,"5,88"
The Legend of Zelda Tears of the Kingdom,"16,28"
The LEGO Movie 2 Videogame,"4,53"
The Messenger,"1,92"
The Witcher 3 Wild Hunt,"21,06"
